Frequency (Hz)	Level (dB)
327.708435	-39.686401
328.381348	-34.513988
329.054260	-30.196016
329.727173	-29.941910
330.400085	-34.033978
331.072998	-41.881313
331.745911	-48.566895
332.418823	-52.092747
333.091736	-54.129597
333.764648	-55.615887
334.437561	-56.103004
335.110474	-56.009956
335.783386	-55.562378
336.456299	-55.172142
337.129211	-54.555828
337.802124	-53.517078
338.475037	-52.454304
339.147949	-51.510361
339.820862	-51.120869
340.493774	-51.977001
341.166687	-53.388607
341.839600	-54.335274
342.512512	-53.209396
343.185425	-52.122017
343.858337	-51.197327
344.531250	-49.529484
345.204163	-46.952114
345.877075	-44.186295
346.549988	-41.600784
347.222900	-37.649151
347.895813	-31.760164
348.568726	-25.735346
349.241638	-23.224365
349.914551	-25.476702
350.587463	-30.496914
351.260376	-34.724297
351.933289	-37.294563
352.606201	-38.991131
353.279114	-40.499382
353.952026	-41.925602
354.624939	-43.206669
355.297852	-44.622940
355.970764	-46.655579
356.643677	-49.724747
357.316589	-51.731472
357.989502	-51.182644
358.662415	-49.563454
359.335327	-48.917778
360.008240	-48.816525
360.681152	-48.669376
361.354065	-48.613270
362.026978	-48.561230
362.699890	-48.165073
363.372803	-47.882576
364.045715	-47.587505
364.718628	-47.379471
365.391541	-47.274643
366.064453	-47.211777
366.737366	-47.139572
367.410278	-47.123516
368.083191	-46.903694
368.756104	-46.846588
369.429016	-47.198017
370.101929	-47.968624
370.774841	-48.337288
371.447754	-48.422493
372.120667	-48.563297
372.793579	-49.057961
373.466492	-49.693523
374.139404	-50.736301
374.812317	-52.164928
375.485229	-53.695110
376.158142	-54.669838
376.831055	-54.226227
377.503967	-53.035267
378.176880	-51.398930
378.849792	-49.914593
379.522705	-48.681042
380.195618	-47.888569
380.868530	-47.153316
381.541443	-46.828785
382.214355	-46.813484
382.887268	-47.188610
383.560181	-47.453648
384.233093	-47.624363
384.906006	-47.874863
385.578918	-47.958282
386.251831	-47.872791
386.924744	-47.757565
387.597656	-47.561462
388.270569	-47.288506
388.943481	-46.846832
389.616394	-46.263306
390.289307	-44.530945
390.962219	-39.399879
391.635132	-34.314793
392.308044	-34.653465
392.980957	-38.380081
393.653870	-42.059349
394.326782	-44.088356
394.999695	-45.176460
395.672607	-46.376408
396.345520	-47.670818
397.018433	-48.711906
397.691345	-49.516834
398.364258	-49.963341
399.037170	-50.530739
399.710083	-51.485554
400.382996	-52.154118
401.055908	-52.659218
401.728821	-52.946289
402.401733	-53.510231
403.074646	-54.516720
403.747559	-55.910511
404.420471	-56.810352
405.093384	-57.489845
405.766296	-57.929993
406.439209	-57.785263
407.112122	-57.335579
407.785034	-57.119705
408.457947	-57.091442
409.130859	-56.258392
409.803772	-55.175644
410.476685	-54.664268
411.149597	-54.499653
411.822510	-54.279232
412.495422	-54.436508
413.168335	-54.842651
413.841248	-55.242683
414.514160	-55.386227
415.187073	-55.867687
415.859985	-56.887154
416.532898	-57.488110
417.205811	-57.917175
417.878723	-58.249775
418.551636	-58.689449
419.224548	-59.052223
419.897461	-59.461891
420.570374	-59.998844
421.243286	-60.332397
421.916199	-59.174530
422.589111	-57.183090
423.262024	-55.477589
423.934937	-54.541992
424.607849	-54.231888
425.280762	-54.263790
425.953674	-54.512722
426.626587	-54.724033
427.299500	-54.706734
427.972412	-54.270569
428.645325	-54.004467
429.318237	-54.362263
429.991150	-55.358128
430.664062	-56.513920
431.336975	-57.708195
432.009888	-57.606461
432.682800	-56.255615
433.355713	-54.119572
434.028625	-51.594013
434.701538	-49.129620
435.374451	-46.698860
436.047363	-44.559113
436.720276	-42.690426
437.393188	-41.163742
438.066101	-39.621319
438.739014	-37.226940
439.411926	-33.636429
440.084839	-32.246006
440.757751	-34.782734
441.430664	-38.850174
442.103577	-42.175983
442.776489	-44.248890
443.449402	-45.497490
444.122314	-46.123287
444.795227	-46.173550
445.468140	-46.167465
446.141052	-46.460178
446.813965	-47.130512
447.486877	-48.056065
448.159790	-48.990314
448.832703	-49.612389
449.505615	-49.775566
450.178528	-49.529049
450.851440	-48.975945
451.524353	-48.493412
452.197266	-48.578598
452.870178	-49.461346
453.543091	-50.487728
454.216003	-51.059578
454.888916	-51.242039
455.561829	-51.562340
456.234741	-52.186817
456.907654	-52.603199
457.580566	-52.408604
458.253479	-52.001987
458.926392	-51.475357
459.599304	-50.619843
460.272217	-49.767570
460.945129	-48.942646
461.618042	-48.365536
462.290955	-48.032379
462.963867	-47.890171
463.636780	-47.790348
464.309692	-47.755745
464.982605	-48.121948
465.655518	-48.883038
466.328430	-49.713573
467.001343	-50.506725
467.674255	-50.728870
468.347168	-50.641136
469.020081	-50.932625
469.692993	-51.841507
470.365906	-53.416443
471.038818	-54.392044
471.711731	-54.596119
472.384644	-54.324318
473.057556	-53.848625
473.730469	-54.031109
474.403381	-54.572117
475.076294	-54.910252
475.749207	-55.654316
476.422119	-56.538261
477.095032	-57.247353
477.767944	-57.950542
478.440857	-59.075333
479.113770	-59.921387
479.786682	-60.351669
480.459595	-59.581558
481.132507	-57.740036
481.805420	-55.730022
482.478333	-54.360329
483.151245	-53.903103
483.824158	-53.543808
484.497070	-52.348087
485.169983	-50.588226
485.842896	-48.979530
486.515808	-48.134426
487.188721	-48.490208
487.861633	-49.264301
488.534546	-48.681301
489.207458	-46.707439
489.880371	-44.526966
490.553284	-41.935825
491.226196	-38.852951
491.899109	-35.342751
492.572021	-32.082249
493.244934	-29.293201
493.917847	-29.012430
494.590759	-32.563896
495.263672	-39.011337
495.936584	-44.433239
496.609497	-47.641121
497.282410	-49.586239
497.955322	-50.446091
498.628235	-50.924206
499.301147	-51.466316
499.974060	-52.422436
500.646973	-53.028114
501.319885	-52.429955
501.992798	-51.308651
502.665710	-50.128738
503.338623	-49.419937
504.011536	-49.046371
504.684448	-49.247643
505.357361	-49.738094
506.030273	-50.000320
506.703186	-49.947796
507.376099	-49.711472
508.049011	-49.719128
508.721924	-50.298222
509.394836	-51.536854
510.067749	-53.101761
510.740662	-54.408779
511.413574	-54.957680
512.086487	-55.362076
512.759399	-55.331306
513.432312	-55.347839
514.105225	-54.936592
514.778137	-54.777252
515.451050	-54.237209
516.123962	-53.762573
516.796875	-52.783031
517.469788	-51.894753
518.142700	-51.082260
518.815613	-50.686237
519.488525	-49.578350
520.161438	-48.115345
520.834351	-45.859413
521.507263	-40.490772
522.180176	-34.425377
522.853088	-31.797806
523.526001	-29.847324
524.198914	-29.658779
524.871826	-35.607380
525.544739	-40.627407
526.217651	-42.481430
526.890564	-42.852077
527.563477	-43.296997
528.236389	-43.815628
528.909302	-44.188957
529.582214	-44.440041
530.255127	-44.736732
530.928040	-45.385239
531.600952	-45.850494
532.273865	-46.295940
532.946777	-47.108616
533.619690	-47.450626
534.292603	-47.229340
534.965515	-46.517159
535.638428	-45.607121
536.311340	-45.491844
536.984253	-45.834618
537.657166	-46.377312
538.330078	-47.127495
